a,a,a,a,b,b,g,j jagababa
 a,a,a,a,b,c,k,l bacakala
 a,a,a,a,b,c,l,n albanaca
 a,a,a,a,b,c,l,v balavaca
 a,a,a,a,b,c,n,n nabacana
 a,a,a,a,b,d,h,l alahabad
 a,a,a,a,b,d,l,m baladama
 a,a,a,a,b,d,l,n nabadala
 a,a,a,a,b,d,m,s ambasada
 a,a,a,a,b,d,v,z zabadava
 a,a,a,a,b,h,m,r abrahama
 a,a,a,a,b,k,l,r bakalara
 a,a,a,a,b,k,m,r barakama
 a,a,a,a,b,k,m,s basamaka
 a,a,a,a,b,k,m,s kasabama
 a,a,a,a,b,l,m,ž ambalaža
 a,a,a,a,b,l,r,t baratala
 a,a,a,a,b,m,n,n bananama
 a,a,a,a,b,m,r,t tarabama
 a,a,a,a,b,m,r,š arambaša
 a,a,a,a,b,m,v,z zabavama
 a,a,a,a,b,n,r,s arbanasa
 a,a,a,a,c,d,l,v davalaca
 a,a,a,a,c,g,m,r magaraca
 a,a,a,a,c,j,n,p japanaca
 a,a,a,a,c,k,n,t katanaca
 a,a,a,a,c,k,v,č čakavaca
 a,a,a,a,c,l,m,t calamata
 a,a,a,a,c,p,p,r paparaca
 a,a,a,a,d,f,m,s fasadama
 a,a,a,a,d,j,m,ž aždajama
 a,a,a,a,d,k,m,r arkadama
 a,a,a,a,d,k,n,r nakarada
 a,a,a,a,d,k,t,z zadataka
 a,a,a,a,d,l,n,p napadala
 a,a,a,a,d,l,p,z zapadala
 a,a,a,a,d,l,v,z zadavala
 a,a,a,a,d,m,n,r ramadana
 a,a,a,a,d,m,p,r paradama
 a,a,a,a,d,m,r,z zaradama
 a,a,a,a,d,m,s,z zasadama
 a,a,a,a,d,m,v,z zavadama
 a,a,a,a,d,m,z,ć zadaćama
 a,a,a,a,d,n,n,p napadana
 a,a,a,a,d,n,p,č napadača
 a,a,a,a,f,k,m,n kafanama
 a,a,a,a,g,j,n,t jatagana
 a,a,a,a,g,j,p,p papagaja
 a,a,a,a,g,l,l,n nalagala
 a,a,a,a,g,l,l,z zalagala
 a,a,a,a,g,l,m,m amalgama
 a,a,a,a,g,l,n,n nalagana
 a,a,a,a,g,l,n,đ nagađala
 a,a,a,a,g,m,m,z magazama
 a,a,a,a,g,m,r,s saramaga
 a,a,a,a,g,m,r,t gatarama
 a,a,a,a,g,m,r,ž garažama
 a,a,a,a,h,k,l,n kalahana
 a,a,a,a,h,l,m,m mahalama
 a,a,a,a,h,l,m,n almanaha
 a,a,a,a,j,k,k,š kajakaša
 a,a,a,a,j,k,l,l alkalaja
 a,a,a,a,j,l,l,z zalajala
 a,a,a,a,j,l,n,p napajala
 a,a,a,a,j,m,n,v najavama
 a,a,a,a,j,m,v,z zamajava
 a,a,a,a,k,k,m,č kačamaka
 a,a,a,a,k,l,m,t alatkama
 a,a,a,a,k,l,n,p palanaka
 a,a,a,a,k,l,z,z zakazala
 a,a,a,a,k,m,m,t kamatama
 a,a,a,a,k,m,m,z makazama
 a,a,a,a,k,m,n,r karamana
 a,a,a,a,k,m,n,r marakana
 a,a,a,a,k,m,n,v kavanama
 a,a,a,a,k,m,n,z nakazama
 a,a,a,a,k,m,p,r kaparama
 a,a,a,a,k,m,r,s masakara
 a,a,a,a,k,m,t,z kazamata
 a,a,a,a,k,n,n,đ kanađana
 a,a,a,a,k,n,r,v karavana
 a,a,a,a,k,n,r,z zaranaka
 a,a,a,a,k,n,s,t atanaska
